date,Average Hookload kkgf,Hole depth (MD) m,Weight on Bit kkgf,Block Position m,Average Rotary Speed rpm,Average Surface Torque kN.m,Bit Depth (MD) m,Average Standpipe Pressure kPa,Mud Flow In L/min,Rate of Penetration m/h
2007-07-06 19:23:52,105.9763008,376.0792707,-0.976470974,40.6752552,89.0,0.004745363,376.0195299,407.8447163,2968.74343,1.83301005
2007-07-06 19:23:56,105.9435287,376.0859382,-0.943698926,40.6600152,89.0,0.005423272,376.0347318,408.1196448,2968.74343,3.6660201
2007-07-06 19:24:00,105.9107567,376.0926057,-0.910926877,40.6447752,89.0,0.006101181,376.0499337,408.3945732,2968.74343,5.49903015
2007-07-06 19:24:04,105.8779846,376.0992732,-0.878154828,40.6295352,89.0,0.00677909,376.0651356,408.6695017,2968.74343,7.3320402
2007-07-06 19:24:08,105.8452126,376.1059407,-0.845382779,40.6142952,89.0,0.007456999,376.0803375,408.9444301,2968.74343,9.16505025
2007-07-06 19:24:12,105.8124405,376.1126082,-0.812610731,40.5990552,89.0,0.008134908,376.0955394,409.2193585,2968.74343,10.9980603
2007-07-06 19:24:16,105.7796685,376.1192757,-0.779838682,40.5838152,89.0,0.008812817,376.1107413,409.494287,2968.74343,12.83107035
2007-07-06 19:24:20,105.7468964,376.1259432,-0.747066633,40.5685752,89.0,0.009490726,376.1259432,409.7692154,2968.74343,14.6640804
2007-07-06 19:24:24,105.77314,376.1607775,-0.773245393,40.533828,89.0,0.009103349,376.1607775,409.497365,2968.74343,16.75894903
2007-07-06 19:24:28,105.7993835,376.1956118,-0.799424152,40.4990808,89.0,0.008715973,376.1956118,409.2255145,2968.74343,18.85381766
2007-07-06 19:24:32,105.8256271,376.2304461,-0.825602912,40.4643336,89.0,0.008328596,376.2304461,408.9536641,2968.74343,20.94868629
2007-07-06 19:24:36,105.8518706,376.2652803,-0.851781672,40.4295864,89.0,0.00794122,376.2652803,408.6818137,2968.74343,23.04355491
2007-07-06 19:24:40,105.8781142,376.3001146,-0.877960432,40.3948392,89.0,0.007553843,376.3001146,408.4099633,2968.74343,25.13842354
2007-07-06 19:24:44,105.9043577,376.3349489,-0.904139191,40.360092,89.0,0.007166467,376.3349489,408.1381128,2968.74343,27.23329217
2007-07-06 19:24:48,105.9306013,376.3697832,-0.930317951,40.3253448,89.0,0.00677909,376.3697832,407.8662624,2968.74343,29.3281608
2007-07-06 19:24:52,105.902025,376.4007585,-0.901798331,40.2943695,89.0,0.006609613,376.4007585,407.7145778,2968.74343,29.3487348
2007-07-06 19:24:56,105.8734487,376.4317338,-0.873278711,40.2633942,89.0,0.006440135,376.4317338,407.5628931,2968.74343,29.3693088
2007-07-06 19:25:00,105.8448724,376.4627091,-0.84475909,40.2324189,89.0,0.006270658,376.4627091,407.4112085,2968.74343,29.3898828
2007-07-06 19:25:04,105.8162961,376.4936844,-0.81623947,40.2014436,89.0,0.006101181,376.4936844,407.2595238,2968.74343,29.4104568
2007-07-06 19:25:08,105.7877197,376.5246597,-0.78771985,40.1704683,89.0,0.005931704,376.5246597,407.1078391,2968.74343,29.4310308
2007-07-06 19:25:12,105.7591434,376.555635,-0.75920023,40.139493,89.0,0.005762227,376.555635,406.9561545,2968.74343,29.4516048
2007-07-06 19:25:16,105.7305671,376.5866103,-0.730680609,40.1085177,89.0,0.005592749,376.5866103,406.8044699,2968.74343,29.4721788
2007-07-06 19:25:20,105.7019908,376.6175856,-0.702160989,40.0775424,89.0,0.005423272,376.6175856,406.6527852,2968.74343,29.4927528
2007-07-06 19:25:24,105.7400926,376.6529424,-0.740262748,40.04214206,89.0,0.00561696,376.6529424,406.6498303,2968.74343,29.53363954
2007-07-06 19:25:28,105.7781943,376.6882992,-0.778364507,40.00674171,89.0,0.005810649,376.6882992,406.6468754,2968.74343,29.57452629
2007-07-06 19:25:32,105.8162961,376.723656,-0.816466266,39.97134137,89.0,0.006004337,376.723656,406.6439205,2968.74343,29.61541303
2007-07-06 19:25:36,105.8543978,376.7590128,-0.854568025,39.93594103,89.0,0.006198025,376.7590128,406.6409656,2968.74343,29.65629977
2007-07-06 19:25:40,105.8924996,376.7943696,-0.892669784,39.90054069,89.0,0.006391713,376.7943696,406.6380107,2968.74343,29.69718651
2007-07-06 19:25:44,105.9306013,376.8297264,-0.930771543,39.86514034,89.0,0.006585402,376.8297264,406.6350558,2968.74343,29.73807326
2007-07-06 19:25:48,105.9687031,376.8650832,-0.968873302,39.82974,89.0,0.00677909,376.8650832,406.6321009,2968.74343,29.77896
2007-07-06 19:25:52,105.9684196,376.8959823,-0.968589807,39.7988409,89.0,0.00677909,376.8959823,407.5516892,2968.74343,29.7653964
2007-07-06 19:25:56,105.9681361,376.9268814,-0.968306312,39.7679418,89.0,0.00677909,376.9268814,408.4712774,2968.74343,29.7518328
2007-07-06 19:26:00,105.9678526,376.9577805,-0.968022816,39.7370427,89.0,0.00677909,376.9577805,409.3908657,2968.74343,29.7382692
2007-07-06 19:26:04,105.9675691,376.9886796,-0.967739321,39.7061436,89.0,0.00677909,376.9886796,410.3104539,2968.74343,29.7247056
2007-07-06 19:26:08,105.9672856,377.0195787,-0.967455826,39.6752445,89.0,0.00677909,377.0195787,411.2300422,2968.74343,29.711142
2007-07-06 19:26:12,105.9670021,377.0504778,-0.967172331,39.6443454,89.0,0.00677909,377.0504778,412.1496304,2968.74343,29.6975784
2007-07-06 19:26:16,105.9667186,377.0813769,-0.966888835,39.6134463,89.0,0.00677909,377.0813769,413.0692187,2968.74343,29.6840148
2007-07-06 19:26:20,105.9664351,377.112276,-0.96660534,39.5825472,89.0,0.00677909,377.112276,413.9888069,2968.74343,29.6704512
2007-07-06 19:26:24,105.9514018,377.1473715,-0.951571993,39.54745166,89.0,0.006585402,377.1473715,413.0018716,2968.74343,29.6497248
2007-07-06 19:26:28,105.9363684,377.1824671,-0.936538646,39.51235611,89.0,0.006391713,377.1824671,412.0149364,2968.74343,29.6289984
2007-07-06 19:26:32,105.9213351,377.2175626,-0.921505299,39.47726057,89.0,0.006198025,377.2175626,411.0280011,2968.74343,29.608272
2007-07-06 19:26:36,105.9063017,377.2526582,-0.906471952,39.44216503,89.0,0.006004337,377.2526582,410.0410659,2968.74343,29.5875456
2007-07-06 19:26:40,105.8912684,377.2877537,-0.891438605,39.40706949,89.0,0.005810649,377.2877537,409.0541306,2968.74343,29.5668192
2007-07-06 19:26:44,105.876235,377.3228493,-0.876405258,39.37197394,89.0,0.00561696,377.3228493,408.0671954,2968.74343,29.5460928
2007-07-06 19:26:48,105.8612017,377.3579448,-0.861371911,39.3368784,89.0,0.005423272,377.3579448,407.0802601,2968.74343,29.5253664
2007-07-06 19:26:52,105.8427178,377.3885772,-0.842888022,39.306246,89.0,0.005592749,377.3885772,407.6585579,2968.74343,29.516832
2007-07-06 19:26:56,105.8242339,377.4192096,-0.824404133,39.2756136,89.0,0.005762227,377.4192096,408.2368556,2968.74343,29.5082976
2007-07-06 19:27:00,105.80575,377.449842,-0.805920244,39.2449812,89.0,0.005931704,377.449842,408.8151534,2968.74343,29.4997632
2007-07-06 19:27:04,105.7872662,377.4804744,-0.787436355,39.2143488,89.0,0.006101181,377.4804744,409.3934512,2968.74343,29.4912288
2007-07-06 19:27:08,105.7687823,377.5111068,-0.768952465,39.1837164,89.0,0.006270658,377.5111068,409.9717489,2968.74343,29.4826944
2007-07-06 19:27:12,105.7502984,377.5417392,-0.750468576,39.153084,89.0,0.006440135,377.5417392,410.5500467,2968.74343,29.47416
2007-07-06 19:27:16,105.7318145,377.5723716,-0.731984687,39.1224516,89.0,0.006609613,377.5723716,411.1283444,2968.74343,29.4656256
2007-07-06 19:27:20,105.7133306,377.603004,-0.713500798,39.0918192,89.0,0.00677909,377.603004,411.7066422,2968.74343,29.4570912
2007-07-06 19:27:24,105.688707,377.6382737,-0.688877212,39.05654949,89.0,0.006585402,377.6382737,411.5362432,2968.74343,29.45687349
2007-07-06 19:27:28,105.6640834,377.6735434,-0.664253626,39.02127977,89.0,0.006391713,377.6735434,411.3658442,2968.74343,29.45665577
2007-07-06 19:27:32,105.6394598,377.7088131,-0.63963004,38.98601006,89.0,0.006198025,377.7088131,411.1954452,2968.74343,29.45643806
2007-07-06 19:27:36,105.6148363,377.7440829,-0.615006455,38.95074034,89.0,0.006004337,377.7440829,411.0250462,2968.74343,29.45622034
2007-07-06 19:27:40,105.5902127,377.7793526,-0.590382869,38.91547063,89.0,0.005810649,377.7793526,410.8546472,2968.74343,29.45600263
2007-07-06 19:27:44,105.5655891,377.8146223,-0.565759283,38.88020091,89.0,0.00561696,377.8146223,410.6842482,2968.74343,29.45578491
2007-07-06 19:27:48,105.5409655,377.849892,-0.541135697,38.8449312,89.0,0.005423272,377.849892,410.5138492,2968.74343,29.4555672
2007-07-06 19:27:52,105.5469756,377.849892,-0.547145796,38.8141083,89.0,0.005592749,377.8181928,410.8094619,2968.74343,29.44529925
2007-07-06 19:27:56,105.5529857,377.849892,-0.553155895,38.7832854,89.0,0.005762227,377.7864936,411.1050747,2968.74343,29.4350313
2007-07-06 19:28:00,105.5589958,377.849892,-0.559165994,38.7524625,89.0,0.005931704,377.7547944,411.4006874,2968.74343,29.42476335
2007-07-06 19:28:04,105.5650059,377.849892,-0.565176093,38.7216396,89.0,0.006101181,377.7230952,411.6963001,2968.74343,29.4144954
2007-07-06 19:28:08,105.571016,377.849892,-0.571186192,38.6908167,89.0,0.006270658,377.691396,411.9919128,2968.74343,29.40422745
2007-07-06 19:28:12,105.5770261,377.849892,-0.577196291,38.6599938,89.0,0.006440135,377.6596968,412.2875256,2968.74343,29.3939595
2007-07-06 19:28:16,105.5830362,377.849892,-0.58320639,38.6291709,89.0,0.006609613,377.6279976,412.5831383,2968.74343,29.38369155
2007-07-06 19:28:20,105.5890463,377.849892,-0.589216489,38.598348,89.0,0.00677909,377.5962984,412.878751,2968.74343,29.3734236
2007-07-06 19:28:24,105.5390215,377.849892,-0.539126932,38.56333954,89.0,0.00677909,377.6313069,412.8570818,2968.74343,29.3616888
2007-07-06 19:28:28,105.4889968,377.849892,-0.489037374,38.52833109,89.0,0.00677909,377.6663153,412.8354125,2968.74343,29.349954
2007-07-06 19:28:32,105.438972,377.849892,-0.438947817,38.49332263,89.0,0.00677909,377.7013238,412.8137433,2968.74343,29.3382192
2007-07-06 19:28:36,105.3889472,377.849892,-0.388858259,38.45831417,89.0,0.00677909,377.7363322,412.792074,2968.74343,29.3264844
2007-07-06 19:28:40,105.3389224,377.849892,-0.338768702,38.42330571,89.0,0.00677909,377.7713407,412.7704048,2968.74343,29.3147496
2007-07-06 19:28:44,105.2888977,377.849892,-0.288679144,38.38829726,89.0,0.00677909,377.8063491,412.7487355,2968.74343,29.3030148
2007-07-06 19:28:48,105.2388729,377.849892,-0.238589587,38.3532888,89.0,0.00677909,377.8413576,412.7270663,2968.74343,29.29128
2007-07-06 19:28:52,105.2118275,377.8698945,-0.211600841,38.32479,89.0,0.006609613,377.8698945,413.7293916,2968.74343,29.2328727
2007-07-06 19:28:56,105.184782,377.8984314,-0.184612095,38.2962912,89.0,0.006440135,377.8984314,414.731717,2968.74343,29.1744654
2007-07-06 19:29:00,105.1577366,377.9269683,-0.157623349,38.2677924,89.0,0.006270658,377.9269683,415.7340424,2968.74343,29.1160581
2007-07-06 19:29:04,105.1306912,377.9555052,-0.130634603,38.2392936,89.0,0.006101181,377.9555052,416.7363677,2968.74343,29.0576508
2007-07-06 19:29:08,105.1036457,377.9840421,-0.103645857,38.2107948,89.0,0.005931704,377.9840421,417.7386931,2968.74343,28.9992435
2007-07-06 19:29:12,105.0766003,378.012579,-0.076657111,38.182296,89.0,0.005762227,378.012579,418.7410184,2968.74343,28.9408362
2007-07-06 19:29:16,105.0495548,378.0411159,-0.049668365,38.1537972,89.0,0.005592749,378.0411159,419.7433438,2968.74343,28.8824289
2007-07-06 19:29:20,105.0225094,378.0696528,-0.022679619,38.1252984,89.0,0.005423272,378.0696528,420.7456691,2968.74343,28.8240216
2007-07-06 19:29:24,104.9973674,378.0973025,0.002527157,38.0975616,89.0,0.005229584,378.0973025,421.4725735,2968.74343,28.21346366
2007-07-06 19:29:28,104.9722254,378.1249522,0.027733933,38.0698248,89.0,0.005035895,378.1249522,422.1994779,2968.74343,27.60290571
2007-07-06 19:29:32,104.9470834,378.1526019,0.052940709,38.042088,89.0,0.004842207,378.1526019,422.9263823,2968.74343,26.99234777
2007-07-06 19:29:36,104.9219415,378.1802517,0.078147485,38.0143512,89.0,0.004648519,378.1802517,423.6532867,2968.74343,26.38178983
2007-07-06 19:29:40,104.8967995,378.2079014,0.103354261,37.9866144,89.0,0.004454831,378.2079014,424.3801911,2968.74343,25.77123189
2007-07-06 19:29:44,104.8716575,378.2355511,0.128561037,37.9588776,89.0,0.004261142,378.2355511,425.1070955,2968.74343,25.16067394
2007-07-06 19:29:48,104.8465155,378.2632008,0.153767813,37.9311408,89.0,0.004067454,378.2632008,425.8339999,2968.74343,24.550116
2007-07-06 19:29:52,104.8180526,378.2851464,0.182174035,37.9091571,89.0,0.004406409,378.2851464,425.5521767,2968.74343,24.2647851
2007-07-06 19:29:56,104.7895897,378.307092,0.210580258,37.8871734,89.0,0.004745363,378.307092,425.2703535,2968.74343,23.9794542
2007-07-06 19:30:00,104.7611268,378.3290376,0.23898648,37.8651897,89.0,0.005084317,378.3290376,424.9885303,2968.74343,23.6941233
2007-07-06 19:30:04,104.7326639,378.3509832,0.267392702,37.843206,89.0,0.005423272,378.3509832,424.7067071,2968.74343,23.4087924
2007-07-06 19:30:08,104.7042009,378.3729288,0.295798924,37.8212223,89.0,0.005762227,378.3729288,424.4248839,2968.74343,23.1234615
2007-07-06 19:30:12,104.675738,378.3948744,0.324205147,37.7992386,89.0,0.006101181,378.3948744,424.1430607,2968.74343,22.8381306
2007-07-06 19:30:16,104.6472751,378.41682,0.352611369,37.7772549,89.0,0.006440135,378.41682,423.8612375,2968.74343,22.5527997
2007-07-06 19:30:20,104.6188122,378.4387656,0.381017591,37.7552712,89.0,0.00677909,378.4387656,423.5794143,2968.74343,22.2674688
2007-07-06 19:30:24,104.5955494,378.4618869,0.4042804,37.73214994,89.0,0.00677909,378.4618869,424.0059043,2968.74343,21.99684994
2007-07-06 19:30:28,104.5722866,378.4850081,0.427543208,37.70902869,89.0,0.00677909,378.4850081,424.4323943,2968.74343,21.72623109
2007-07-06 19:30:32,104.5490238,378.5081294,0.450806017,37.68590743,89.0,0.00677909,378.5081294,424.8588843,2968.74343,21.45561223
2007-07-06 19:30:36,104.5257609,378.5312506,0.474068826,37.66278617,89.0,0.00677909,378.5312506,425.2853742,2968.74343,21.18499337
2007-07-06 19:30:40,104.5024981,378.5543719,0.497331635,37.63966491,89.0,0.00677909,378.5543719,425.7118642,2968.74343,20.91437451
2007-07-06 19:30:44,104.4792353,378.5774931,0.520594443,37.61654366,89.0,0.00677909,378.5774931,426.1383542,2968.74343,20.64375566
2007-07-06 19:30:48,104.4559725,378.6006144,0.543857252,37.5934224,89.0,0.00677909,378.6006144,426.5648442,2968.74343,20.3731368
2007-07-06 19:30:52,104.4516634,378.6188643,0.54816638,37.5751344,89.0,0.00677909,378.6188643,426.0580795,2968.74343,20.1639297
2007-07-06 19:30:56,104.4473543,378.6371142,0.552475507,37.5568464,89.0,0.00677909,378.6371142,425.5513149,2968.74343,19.9547226
2007-07-06 19:31:00,104.4430451,378.6553641,0.556784635,37.5385584,89.0,0.00677909,378.6553641,425.0445502,2968.74343,19.7455155
2007-07-06 19:31:04,104.438736,378.673614,0.561093762,37.5202704,89.0,0.00677909,378.673614,424.5377855,2968.74343,19.5363084
