date,Hole Depth (MD) m,Bit Depth (MD) m,Block Position m,Mud Flow In L/min,Average Standpipe Pressure kPa,Average Hookload kkgf,Average Surface Torque kN.m,Average Rotary Speed rpm,Weight on Bit kkgf,Rate of Penetration m/h
2007-10-23 08:07:08,1366.390054,1366.390054,18.30999955,3516.409911,16941.99982,126.0879115,6.279999597,129,0.01019721,20.2338432
2007-10-23 08:07:12,1366.398284,1366.348276,18.30249987,3516.33496,16970.49981,126.1516438,6.569999566,129,0.01019721,20.2338432
2007-10-23 08:07:16,1366.406513,1366.329956,18.28000083,3516.110106,17055.99975,126.3428404,7.43999947,129,0.01019721,20.2338432
2007-10-23 08:07:20,1366.445019,1366.411763,18.25833351,3516.08675,17085.83323,126.0607158,7.863333514,129.6666667,0.01019721,19.3886328
2007-10-23 08:07:24,1366.455586,1366.380005,18.22999961,3515.96997,17102.99988,126.0369223,7.900000028,129,0.01019721,19.3886328
2007-10-23 08:07:28,1366.48759,1366.443807,18.21499911,3515.744935,17062.50039,125.5398097,8.065000361,129,0.063732223,19.3886328
2007-10-23 08:07:32,1366.504049,1366.467051,18.1874999,3515.894959,17033.25005,125.3282201,8.232500145,129,0.13511224,19.3886328
2007-10-23 08:07:36,1366.535443,1366.487692,18.17250008,3515.96997,17035.50033,124.8846458,8.300000557,129,0.573590459,19.3886328
2007-10-23 08:07:40,1366.551598,1366.551598,18.14999967,3516.189941,17003.50037,124.7316869,8.270000035,128.5,0.729097118,19.3886328
2007-10-23 08:07:44,1366.567905,1366.527091,18.12499967,3516.484924,16995.00008,124.6908974,8.329999386,128.25,0.774984223,19.5904104
2007-10-23 08:07:48,1366.592593,1366.550488,18.10500059,3516.597473,17080.49965,124.6144217,8.732499704,129.25,0.851463073,19.792188
2007-10-23 08:07:52,1366.600975,1366.520019,18.09000009,3516.260008,17102.99988,124.6603071,9.040000231,130,0.805575967,19.792188
2007-10-23 08:07:56,1366.642022,1366.606892,18.07500012,3516.33496,17125.16658,124.9152361,9.138332736,130,0.55064685,19.792188
2007-10-23 08:08:00,1366.65523,1366.569946,18.040001,3516.110106,17136.00006,125.0070068,8.869999642,130,0.458872185,19.792188
2007-10-23 08:08:04,1366.692415,1366.641191,18.0250005,3516.005004,17048.25021,124.9993633,8.802499229,129.25,0.466520093,19.792188
2007-10-23 08:08:08,1366.711008,1366.660497,18.00500006,3516.187499,16983.00057,124.9738728,8.832499751,129.75,0.492013118,19.7863968
2007-10-23 08:08:12,1366.749108,1366.689557,17.9849997,3516.260008,16983.75054,125.2491927,8.917499368,129.25,0.216689806,19.7806056
2007-10-23 08:08:16,1366.767701,1366.767701,17.96,3516.040038,17002.50015,125.0987852,9.444999323,129.5,0.367097975,19.7806056
2007-10-23 08:08:20,1366.787056,1366.733222,17.93250026,3515.745056,17031.99997,124.9254353,9.94749935,130,0.540449753,19.7806056
2007-10-23 08:08:24,1366.816164,1366.762935,17.90000012,3515.632509,17085.25048,124.9662231,9.744999126,130,0.499661025,19.7806056
2007-10-23 08:08:28,1366.825918,1366.73999,17.87000094,3515.96997,17110.00061,124.4461675,9.15999961,130,1.019716017,19.7806056
2007-10-23 08:08:32,1366.87052,1366.835749,17.84000013,3515.96997,17147.66642,124.4291726,9.028332966,129.3333333,1.036711519,19.7248272
2007-10-23 08:08:36,1366.882915,1366.790039,17.80999953,3515.96997,17060.00061,124.6297168,9.209999465,130,0.836167143,19.6690488
2007-10-23 08:08:40,1366.920101,1366.870024,17.79500064,3515.96997,16988.00011,124.6832518,9.329999522,129.25,0.782632131,19.6690488
2007-10-23 08:08:44,1366.938998,1366.894487,17.76750036,3515.96997,16967.75017,124.8999431,9.249999484,129,0.565942551,19.6690488
2007-10-23 08:08:48,1366.976794,1366.9284,17.73749973,3515.96997,17032.74956,125.3256701,9.127500316,129,0.140211072,19.6690488
2007-10-23 08:08:52,1366.995386,1366.995386,17.71500023,3515.96997,17071.49964,125.2109508,9.180000637,129,0.254929118,19.6690488
2007-10-23 08:08:56,1367.016265,1366.973589,17.6950007,3515.96997,17068.75,125.106431,9.297500566,129,0.369647164,19.5672456
2007-10-23 08:09:00,1367.048574,1366.995029,17.67000002,3515.96997,17044.00025,125.4276442,9.465000349,129.25,0.066281639,19.4654424
2007-10-23 08:09:04,1367.060004,1366.959961,17.63999947,3515.96997,17152.00043,125.2211541,9.630000681,130,0.234534924,19.4654424
2007-10-23 08:09:08,1367.114868,1367.07568,17.61666718,3515.96997,17073.16666,124.8778476,9.635000486,129.1666667,0.577839107,19.4654424
2007-10-23 08:09:12,1367.129498,1367.030029,17.57999989,3515.96997,16963.00049,124.7928672,9.460000092,129,0.662815479,19.4654424
2007-10-23 08:09:16,1367.174304,1367.112176,17.55749948,3516.075072,16882.00036,124.7087403,9.31000053,129,0.746942123,19.5520818
