date,Hole depth (MD) m,Bit Depth (MD) m,Block Position m,RPM30s rpm,Average Hookload kkgf,Average Standpipe Pressure kPa,Mud Flow In L/min,Averaged WOB kkgf,Average Surface Torque kN.m,Rate of Penetration  m/h
2009-7-3 18:04:32,719.829396,719.829396,44.8818,104,93.93671187,13981.25779,3447.223292,9.779078638,1.125328897,39.256716
2009-7-3 18:04:36,719.877402,719.877402,44.83227,104,93.67022635,14117.08451,3447.223292,8.70072886,0.637234436,39.114222
2009-7-3 18:04:40,719.897976,719.897976,44.811696,104,93.65321663,14038.07059,3447.223292,8.652292203,0.393187205,39.057072
2009-7-3 18:04:44,719.942172,719.942172,44.769024,104,93.69857587,14062.61593,3447.223292,9.43237497,0.338954487,38.894004
2009-7-3 18:04:48,719.976462,719.976462,44.73321,104,93.75187298,13796.61619,3447.223292,11.45141309,0.359291757,38.608254
2009-7-3 18:04:52,720.007704,720.007704,44.701968,104,93.85279728,13743.11287,3447.223292,13.28690198,0.366070846,38.05428
2009-7-3 18:04:56,720.048852,720.048852,44.66082,104,94.01155461,14054.44564,3447.223292,14.9711334,0.325396308,37.430964
2009-7-3 18:05:00,720.09,720.09,44.619672,104,94.13402455,14085.64441,3447.223292,15.72402408,0.298279949,36.771072
2009-7-3 18:05:04,720.123528,720.123528,44.586144,104,94.13289057,13913.8443,3447.223292,14.94394083,0.294890404,36.330636
2009-7-3 18:05:08,720.155532,720.155532,44.55414,104,94.06825365,14009.04366,3447.223292,12.98608612,0.325396308,36.140136
2009-7-3 18:05:12,720.205824,720.205824,44.503848,104,93.92423808,14265.39073,3447.223292,11.86184878,0.325396308,35.934396
2009-7-3 18:05:16,720.224112,720.224112,44.48556,104,93.89362059,14265.39073,3447.223292,11.05882212,0.325396308,35.7378
2009-7-3 18:05:20,720.26526,720.26526,44.44746,104,93.85279728,13958.09141,3447.223292,10.14617613,0.352512667,35.198304
2009-7-3 18:05:24,720.29955,720.29955,44.41317,104,93.82331378,14115.63661,3447.223292,8.99389693,0.366070846,34.81197
2009-7-3 18:05:28,720.327744,720.327744,44.381928,104,93.76661473,13972.57039,3447.223292,8.198518313,0.352512667,34.35096
2009-7-3 18:05:32,720.362796,720.362796,44.3484,104,93.68723607,14028.83161,3447.223292,8.308987343,0.352512667,33.84804
2009-7-3 18:05:36,720.397848,720.397848,44.311824,104,93.61239332,14002.83838,3447.223292,8.575813196,0.311838128,33.460944
2009-7-3 18:05:40,720.42528,720.42528,44.284392,104,93.66682441,13970.08828,3447.223292,9.527548394,0.311838128,33.378648
2009-7-3 18:05:44,720.471,720.471,44.24172,104,93.77568657,13928.44395,3447.223292,10.95515119,0.338954487,33.310068
2009-7-3 18:05:48,720.519768,720.519768,44.189904,104,93.85846718,14006.66497,3447.223292,13.43476106,0.335564943,33.204912
2009-7-3 18:05:52,720.538056,720.538056,44.171616,104,93.84826135,14127.35769,3447.223292,14.78078639,0.325396308,33.104328
2009-7-3 18:05:56,720.571584,720.571584,44.138088,104,93.7620788,14033.00294,3447.223292,15.40281317,0.27116359,32.558736
2009-7-3 18:06:00,720.599778,720.599778,44.109894,104,93.66795839,13792.20355,3447.223292,15.21671484,0.257605411,32.061912
2009-7-3 18:06:04,720.626448,720.626448,44.083224,104,93.5897137,13743.38866,3447.223292,15.16317997,0.27116359,31.623
2009-7-3 18:06:08,720.658452,720.658452,44.05122,104,93.40600879,14131.18428,3447.223292,15.44870073,0.305059039,31.252668
2009-7-3 18:06:12,720.693504,720.693504,44.016168,104,93.1678728,14187.54892,3447.223292,15.73422148,0.311838128,31.010352
2009-7-3 18:06:16,720.727032,720.727032,43.984926,104,93.06808248,14029.12464,3447.223292,16.17014993,0.277942679,30.953964
2009-7-3 18:06:20,720.757512,720.757512,43.95216,104,93.01365139,14124.53084,3447.223292,16.65961422,0.25760541,30.897576
2009-7-3 18:06:24,720.799422,720.799422,43.91025,104,92.98189993,14115.49872,3447.223292,16.79727516,0.210151782,30.779466
2009-7-3 18:06:28,720.815424,720.815424,43.894248,104,92.96829216,13974.43198,3447.223292,16.65706438,0.149139974,30.690312
2009-7-3 18:06:32,720.847428,720.847428,43.862244,104,92.90252126,14003.63128,3447.223292,16.31206076,0.135581795,30.585156
2009-7-3 18:06:36,720.879432,720.879432,43.83024,104,92.77324744,14032.83057,3447.223292,15.72062495,0.122023615,30.257496
2009-7-3 18:06:40,720.900768,720.900768,43.808904,104,92.64624157,14066.2012,3447.223292,15.32633441,0.081349077,30.03804
2009-7-3 18:06:44,720.929724,720.929724,43.778424,104,92.35821042,13866.04639,3447.223292,14.36610171,0.040674538,29.666184
2009-7-3 18:06:48,720.961728,720.961728,43.747944,104,92.07471519,14305.86296,3447.223292,13.48064861,0.027116359,29.30652
2009-7-3 18:06:52,720.98535,720.98535,43.722036,104,91.95337923,14204.23424,3447.223292,13.59536639,0.013558179,29.1465
2009-7-3 18:06:56,721.01202,721.01202,43.697652,104,91.89327824,14165.00307,3447.223292,13.84009854,0.020337269,28.881324
2009-7-3 18:07:00,721.048596,721.048596,43.661076,104,91.89668018,14041.17323,3447.223292,13.68714125,0.027116359,28.51404
2009-7-3 18:07:04,721.062312,721.062312,43.64736,104,91.92049378,14041.17323,3447.223292,13.49594422,0.027116359,28.386024
2009-7-3 18:07:08,721.092792,721.092792,43.615356,104,91.98853264,14101.53683,3447.223292,13.363381,0.027116359,28.073604
2009-7-3 18:07:12,721.117938,721.117938,43.590972,104,92.01688216,14174.93152,3447.223292,13.27925467,0.027116359,27.765756
2009-7-3 18:07:16,721.14156,721.14156,43.565064,104,91.98853264,14192.23736,3447.223292,13.16453615,0.027116359,27.529536
2009-7-3 18:07:20,721.173564,721.173564,43.536108,104,91.82070346,14221.54008,3447.223292,12.80933514,0.027116359,27.247596
2009-7-3 18:07:24,721.20252,721.20252,43.507152,104,91.5984432,14080.05966,3447.223292,12.70566405,0.027116359,26.938224
2009-7-3 18:07:28,721.228428,721.228428,43.481244,104,91.43401597,14215.1452,3447.223292,13.17983201,0.013558179,26.817066
2009-7-3 18:07:32,721.252812,721.252812,43.45686,104,91.32175186,14024.48791,3447.223292,13.6285072,0.013558179,26.718768
2009-7-3 18:07:36,721.287102,721.287102,43.420284,104,91.22536347,14138.71681,3447.223292,13.90892901,0.037284994,26.435304
2009-7-3 18:07:40,721.303104,721.303104,43.406568,104,91.22196153,14165.34781,3447.223292,14.07208345,0.027116359,26.261568
2009-7-3 18:07:44,721.333584,721.333584,43.374564,104,91.33989555,14132.59771,3447.223292,14.24543528,0.027116359,25.860756
2009-7-3 18:07:48,721.35873,721.35873,43.35018,104,91.50545677,14226.1251,3447.223292,14.51566043,0.016947724,25.581864
2009-7-3 18:07:52,721.3854,721.3854,43.321224,104,91.6755539,14268.21759,3447.223292,14.68391308,0.013558179,25.447752
2009-7-3 18:07:56,721.420452,721.420452,43.28922,104,91.8184355,14231.88221,3447.223292,14.78248596,0,25.4127
2009-7-3 18:08:00,721.452456,721.452456,43.257216,104,91.87513454,14389.56531,3447.223292,14.70430787,0,25.371552
2009-7-3 18:08:04,721.476078,721.476078,43.233594,104,91.85812484,14128.59875,3447.223292,14.41368866,-0.027116359,25.32126
2009-7-3 18:08:08,721.501224,721.501224,43.208448,104,91.80482773,14155.14356,3447.223292,14.3932946,-0.040674538,25.269444
2009-7-3 18:08:12,721.536276,721.536276,43.172634,104,91.6165869,14330.89093,3447.223292,14.54880148,-0.067790897,25.06599
2009-7-3 18:08:16,721.549992,721.549992,43.156632,104,91.48050918,14330.89093,3447.223292,14.91844832,-0.067790897,24.9174
2009-7-3 18:08:20,721.581996,721.581996,43.127676,104,91.21742561,14188.03156,3447.223292,15.39516537,-0.115244526,24.697944
2009-7-3 18:08:24,721.60638,721.60638,43.103292,104,91.00083526,14440.51757,3447.223292,15.76991115,-0.149139974,24.582882
2009-7-3 18:08:28,721.632288,721.632288,43.077384,104,90.79104878,14288.28133,3447.223292,15.54047485,-0.189814513,24.472392
2009-7-3 18:08:32,721.661244,721.661244,43.048428,104,90.62095164,14184.51523,3447.223292,15.51328229,-0.25760541,24.380952
2009-7-3 18:08:36,721.6902,721.6902,43.016424,104,90.48260597,14581.37746,3447.223292,15.7444179,-0.284721769,24.33828
